term,estimate (logit),odds_ratio,OR_CI_lo,OR_CI_hi,p_value
Intercept,1.4019221490200606,4.06300216157537,1.6441441609473029,10.040473917721885,0.0023882593406235114
C(configuration)[T.C2],-0.4882252024385932,0.6137146474438255,0.19949100981824666,1.8880332944840745,0.3944810881367543
C(configuration)[T.C3],1.0482698688307912,2.852711281308072,1.0806195729121615,7.530829404256811,0.034301438946153784
C(configuration)[T.C4],2.118464282875328,8.318353036342883,3.2515708743547433,21.280482545522315,9.855876325591971e-06
C(configuration)[T.C5],1.888374160261136,6.608615392326035,2.579753752381741,16.92944427869018,8.335565989872891e-05
C(engine)[T.llm-grounded],1.1046719095020308e-14,1.000000000000011,0.34495511785655547,2.898927855350323,0.9999999999999838
C(engine)[T.rule-grounded],-0.6736520783048465,0.5098431863423478,0.16176529867252215,1.6068963912089762,0.2500779972721999
C(configuration)[T.C2]:C(engine)[T.llm-grounded],0.6311600489962405,1.879789963383927,0.40375357325345523,8.751898535448332,0.4212430305244389
C(configuration)[T.C3]:C(engine)[T.llm-grounded],1.070194414044539,2.915946345796562,0.764470914100015,11.122389269151338,0.11716766731323333
C(configuration)[T.C4]:C(engine)[T.llm-grounded],0.6150770698118306,1.849799157737802,0.4963286291134545,6.894135706174044,0.35948962153949193
C(configuration)[T.C5]:C(engine)[T.llm-grounded],1.1707872611603944,3.2245301869174745,0.8558700939415556,12.14856670415693,0.08363196460988495
C(configuration)[T.C2]:C(engine)[T.rule-grounded],1.9094937063640487,6.749670618024111,1.3934078668158407,32.69541857541353,0.0176879444500582
C(configuration)[T.C3]:C(engine)[T.rule-grounded],3.6615023173776153,38.91976881821445,8.886926637567987,170.44682224110124,1.1795861319072063e-06
C(configuration)[T.C4]:C(engine)[T.rule-grounded],2.591307903333079,13.347217061904706,3.146251778897017,56.62236076988522,0.00044049082161668585
C(configuration)[T.C5]:C(engine)[T.rule-grounded],2.8213980259472535,16.8003215473162,3.9479917416954797,71.4922478464971,0.00013429519762046908
